date,hour,min,subj
2014-02-12,17,35,[FreeFood] Lots of Chocolate in Campus Club in 30 minutes!
2014-02-13,20,18,[FreeFood] Free Chinese green beans in Wilcox Commons!!
2014-02-14,10,27,[FreeFood] Sandwiches sodas and desserts
2014-02-14,11,12,[FreeFood] yummy sandwhiches at Frist
2014-02-14,15,41,[FreeFood] MUSIC AND COOKIES
2014-02-14,18,59,[FreeFood] George's on Second floor bloomberg study room (Low number, elm street side)
2014-02-14,21,20,[FreeFood] Hot drinks cookies and brownies!
2014-02-15,11,52,[FreeFood] Pizza in LGBT Center
2014-02-15,18,1,[FreeFood] Free pizza in frist cafeteria area
2014-02-16,8,3,[FreeFood]
2014-02-16,16,44,[FreeFood] Free Chinese Food
2014-02-16,16,48,[FreeFood] Pizza in Edwards basement
2014-02-16,20,37,[FreeFood] Starbucks coffee in 1915 until midnight
2014-02-17,15,1,[FreeFood] Ice cream in Campus Club Tuesday night at 9!
2014-02-17,19,20,[FreeFood] 3rd floor Sherrerd
2014-02-18,18,7,[FreeFood] Free Ice Cream and Toppings in Campus Club
2014-02-18,19,5,[FreeFood] Slice Between Pizza
2014-02-18,21,46,[FreeFood] Fwd: Coke, Diet Coke, and Pepsi
2014-02-20,9,47,[FreeFood] [Free Food] Some Chinese food: Cabbage, pork, broccoli
2014-02-20,19,15,[FreeFood] General Tso's Chicken & White Rice -- Bloomberg Lounge (353)
2014-02-21,11,40,[FreeFood] Rice and Chicken in Frist 247!!!
2014-02-21,15,23,[FreeFood] BROWNIES
2014-02-21,18,40,[FreeFood] Chicken Parm & Lasagna
2014-02-21,21,35,[FreeFood] Free Olives Food in Little
2014-02-21,22,2,[FreeFood] Free Cake at Cafe Antoine (Hamilton Hall)
2014-02-22,11,19,[FreeFood] Salad sandwiches Mac and cheese cookies rice and green beans
2014-02-22,11,44,[FreeFood] Sandwiches and soda in the rainbow lounge
2014-02-24,16,41,[FreeFood] sodas in rocky common room
2014-02-25,15,9,[FreeFood] Box of Pizza + Cupcakes in Frist
2014-02-25,18,53,[FreeFood] Pizza, burgers, fries
2014-02-26,18,38,[FreeFood] Taco Bell
2014-02-26,19,20,[FreeFood] Gone!! Re: Taco Bell
2014-02-26,19,50,[FreeFood] FREE WINE IN HOLDER BASEMENT
2014-02-27,16,0,[FreeFood] Leftover Chinese Food
2014-02-27,18,38,[FreeFood] Frist 302 sandwiches chips cookies sodas
2014-02-27,20,22,[FreeFood] Olive's Greek Food and Desserts
2014-02-28,10,24,[FreeFood] sandwiches, grilled cheese, pasta salad
2014-02-28,18,12,[FreeFood] CHEEBURGER and KARAOKE
2014-02-28,18,17,[FreeFood] Karaoke and cheeburger cheeburger in wilson blackbox now!!!!
2014-02-28,18,38,[FreeFood] Fwd: Bhakti Vedanta Institute Meditation/Discussion Notice
2014-02-28,20,19,[FreeFood] Tandoori bite - Wilcox commons
2014-03-03,18,20,[FreeFood] Free Food in Murray Dodge
2014-03-04,12,51,[FreeFood] FREE PANCAKES at 6:15 in Procter House (across University Place from Foulke Hall)
2014-03-04,18,26,[FreeFood] Free Burritos!
2014-03-04,19,28,[FreeFood] Tsweets in the Mathey common room!
2014-03-05,19,50,[FreeFood] Papa John's In Bloomberg
2014-03-06,15,58,[FreeFood] Pizza pie outside Studio 34!
2014-03-06,18,30,[FreeFood] Neon colored food and candy
2014-03-07,11,22,[FreeFood] Delicious Greek Food
2014-03-07,12,41,[FreeFood] Study Break @McGraw Now until 4:30pm with Free Food
2014-03-07,13,51,[FreeFood] Olives' pastries outside Frist Rainbow Lounge
2014-03-07,18,30,[FreeFood] Free chocolate!
2014-03-08,13,56,[FreeFood] Free Bent Spoon Cupakes @ 7
2014-03-08,17,58,[FreeFood] Leftover birthday cake
2014-03-08,17,21,[FreeFood] Cupcakes and Neuro Mocktails
2014-03-09,16,36,[FreeFood] free powda donuts in Frist 206
2014-03-10,16,45,[FreeFood] Naked Pizza and Salad in Murray-Dodge
2014-03-10,17,12,[FreeFood] Free food in the USG Office (Frist 204)
2014-03-10,18,50,[FreeFood] Free House of Cupcakes/ Olives
2014-03-12,15,59,[FreeFood] Indian food in Murray Dodge
2014-03-13,20,1,[FreeFood] Indian food @ front of Wu dining hall
2014-03-15,22,8,[FreeFood] Chocolate Chip Cookies in MURRAY DODGE
2014-03-17,15,33,[FreeFood] Indian food in Rocky Common Room
2014-03-18,16,17,[FreeFood] Muffins in wu
2014-03-24,16,30,[FreeFood] Afghan food in Murray-Dodge!
2014-03-24,16,56,[FreeFood] Tons of snacks in the USG Office (Frist 204)
2014-03-25,16,19,[FreeFood] Thai village
2014-03-25,19,30,[FreeFood] Couscous, lamb and chicken in Butler Studio 34
2014-03-26,11,15,[FreeFood] Free Food in Frist 247!!
2014-03-26,20,9,[FreeFood] 3 samosas and mango lassi
2014-03-26,20,54,[FreeFood] Bent Spoon Hot Chocolate and Peanut Butter Cookies
2014-03-27,20,0,[FreeFood] Mediterranean Delicious Sandwiches outside Frist 309
2014-03-27,22,15,[FreeFood] Pretzels, frist
2014-03-28,12,45,[FreeFood] McGraw Happy Hour Food!
2014-03-28,16,23,[FreeFood] Friend convocation room
2014-03-28,20,1,[FreeFood] Chinese food
2014-03-29,19,4,[FreeFood] Free Food from Business Bistro
2014-03-29,20,11,[FreeFood] ICS Chocolate in Murray Dodge
2014-03-30,7,40,[FreeFood] Breakfast from Business Bistro
2014-03-30,13,38,[FreeFood] Massive number of sandwiches
2014-03-30,19,11,[FreeFood] Warm Pecan Pie and Cinammon Cake!
2014-03-30,21,20,[FreeFood] Leftover pjs in Wilcox commons
2014-03-31,17,14,[FreeFood] tons of fancy italian food in Murray Dodge
2014-03-31,17,24,[FreeFood] Free food in the USG office!
2014-04-01,16,4,[FreeFood] cheese pizza and cookies/brownies in mcgraw!!!!!!
2014-04-01,17,51,[FreeFood] Rocky Common Room.
2014-04-01,18,56,[FreeFood] Masala grill
2014-04-02,20,44,[FreeFood] Best pizza in NJ!!!
2014-04-03,11,13,[FreeFood] Say Cheez - Frist by the box office
2014-04-03,13,44,[FreeFood] Free food outside Friend 101!
2014-04-03,13,46,[FreeFood] CAKE
2014-04-03,17,54,[FreeFood] Deangolos italian spread - Bogle
2014-04-03,18,44,[FreeFood] Couch outside of Laughlin entry 5
2014-04-03,19,6,[FreeFood] tandoori bite in forbes mpr!
2014-04-04,11,54,[FreeFood] Free Pizzas in Frist 247
2014-04-04,12,31,[FreeFood] McGraw Happy Hour Food!
2014-04-04,16,10,[FreeFood] Bent spoon, pretzels and soda
2014-04-04,16,45,[FreeFood] TON of food in Whig Hall Oakes Lounge
2014-04-05,8,15,[FreeFood] panera bagels and cream cheese and whipped butter in frist
2014-04-05,10,22,[FreeFood] South Indian food
2014-04-05,10,55,[FreeFood] Ichan!
2014-04-05,11,40,[FreeFood] Immense amounts of sandwiches in Frist MPR C
2014-04-05,12,15,[FreeFood] Moar food @ Frist pool tables
2014-04-05,12,25,[FreeFood] Sandwiches in Witherspoon Hall
2014-04-05,17,10,[FreeFood] Brownies and cookies
2014-04-05,17,30,[FreeFood] And then there was dessert
2014-04-05,18,30,[FreeFood] 500 free cans of water and soda in campus club
2014-04-05,19,35,[FreeFood] Free sushi at Frist, by Witherspoon Cafe!
2014-04-05,20,5,[FreeFood] Tandoori Bite in Whitman Dining Hall
2014-04-07,16,22,[FreeFood] Free Olives outside Lewis Library
2014-04-09,18,0,[FreeFood] Free Food Sat. REMINDER: Conference Saturday--Barclays, DB, CS, GS, Scoggin Capital, Excel Financial Modeling workshop, and others
2014-04-10,18,35,[FreeFood] Almost free food!!!
2014-04-10,18,36,[FreeFood] Small pastries next to the Welcome Desk in Frist
2014-04-11,12,44,[FreeFood] McGraw Happy Hour Food!
2014-04-11,13,14,[FreeFood] McGraw Still Has Food
2014-04-11,13,15,[FreeFood] Leftover Indian food in LGBT Center
2014-04-11,14,56,[FreeFood] [Pride] Craving some ice cream?
2014-04-11,15,14,[FreeFood] Free Food Tonight AT 7:30 in Frist MPR!
2014-04-11,17,9,[FreeFood] Pizza @ frist
2014-04-12,14,31,[FreeFood] Shrimp & Sweet Tray outside Robertson 002
2014-04-13,15,32,[FreeFood] Chicken Wings on Frist 100 Level!
2014-04-14,18,3,[FreeFood] In Murray Dodge
2014-04-15,15,57,[FreeFood] Sushi and desserts in friend for next 15 min
2014-04-15,17,46,[FreeFood] Pop Eyes, Twist, Cheeburger, Panera, T- Sweets, and more!
2014-04-17,13,32,[FreeFood] OLIVES with Award-Winning Brazilian Documentary ELENA, Discussion with Director and Faculty to Follow!
2014-04-17,15,48,[FreeFood] Olives!
2014-04-18,13,23,[FreeFood] Free Food in Frist 247
2014-04-18,14,23,[FreeFood] CS Tea Room (2nd floor): Free sandwiches / salads / snacks!
2014-04-18,18,23,[FreeFood] Cupcakes, Cupcakes, Pretzels
2014-04-18,20,1,[FreeFood] BBQ @ POE FIELD--TOMORROW 1:30PM
2014-04-19,12,39,[FreeFood] Bagels, OJ, pizza in CS lobby
2014-04-19,13,57,[FreeFood] Bagels, Coffee, and Cream Cheese
2014-04-19,14,25,[FreeFood] BAGELS COFFEE CREAM CHEEZE BLAIR TOWER T3
2014-04-19,18,1,[FreeFood] Free salsa class and Taste of Mexico!
2014-04-19,19,38,[FreeFood] more Mexican food than you can eat
2014-04-20,20,21,[FreeFood] Chocolate ice cream, mango sorbet, and mini pb cups
2014-04-22,17,55,[FreeFood] Sandwiches, chips, drinks, cookies
2014-04-23,19,45,[FreeFood] Fruit, Cookies, Brownies @ Frist 100 Level
2014-04-23,19,49,[FreeFood] Thai food
2014-04-24,10,17,[FreeFood] Chicken Fingers, Mac and Cheese and Pizza in Friend Convocation Room
2014-04-24,17,15,[FreeFood] Indian Food in Murray Dodge
2014-04-24,20,18,[FreeFood] STAR PARTY
2014-04-24,21,18,[FreeFood] Chez Alice baked goods
2014-04-24,22,50,[FreeFood] pizza and coke
2014-04-24,23,39,[FreeFood] chips ahoy and pizza
2014-04-25,8,52,[FreeFood] FROYO FRIDAY
2014-04-25,11,48,[FreeFood] Chinese Food in the LGBT Center
2014-04-25,16,59,[FreeFood] Free food + PAST Event
2014-04-25,17,1,[FreeFood] Oops -PAST Event now
2014-04-25,18,58,[FreeFood] Earth Day Picnic!
2014-04-25,19,54,[FreeFood] FREE SPANISH FOOD
2014-04-26,14,37,[FreeFood] Hoagies in architecture entrance
2014-04-26,15,28,[FreeFood] Brownies, drinks, other snacks outside Aaron Burr 219
2014-04-26,15,44,[FreeFood] So much South Indian food in Murray Dodge
2014-04-27,13,11,[FreeFood] Sandwiches, salad, cookies outside Aaron Burr 216
2014-04-27,14,44,[FreeFood] Cookies & Juices in East Pyne
2014-04-27,16,49,[FreeFood] SO MUCH Moe's in Wilson Commons
2014-04-28,17,37,[FreeFood] Free food in the USG Office (Frist 204)
2014-04-28,22,21,[FreeFood] double stuff oreos and milk
2014-04-29,15,10,[FreeFood] Fwd: 2014 Spring MedTalks!!!
2014-04-29,15,44,[FreeFood] Free Cupcakes! PCFC MarketWatch Event!
2014-04-29,18,48,[FreeFood] Pancakes!
2014-04-29,19,27,[FreeFood] Ice cream sundaes in Butler Studio 34
2014-04-29,19,34,[FreeFood] Mac & Cheese in Mathey Common Room
2014-04-30,15,57,[FreeFood] Hummus, veggies, pita, drinks in East Pyne Basement
2014-04-30,17,16,[FreeFood] Tons and tons of Italian food
2014-05-01,11,8,[FreeFood] Indian Food
2014-05-01,19,51,[FreeFood] Pizza at Frist tables
2014-05-01,19,53,[FreeFood] Frist 307
2014-05-03,18,46,[FreeFood] Cookies and Brownies!
2014-05-03,19,13,[FreeFood] Cookies, cupcakes, cheese, veggies in front of Frist
2014-05-03,20,10,[FreeFood] Free Flowers!!!!!
2014-05-03,20,28,[FreeFood] African food in frist
2014-05-05,11,37,[FreeFood] free food in dodd hall
2014-05-05,11,47,[FreeFood] sorry, ignore this email
2014-05-05,12,19,[FreeFood] Free food in Whig
2014-05-05,14,36,[FreeFood] Sushi, House of Cupcakes, and an amazing exhibition!
2014-05-06,13,52,[FreeFood] Dod courtyard
2014-05-06,19,12,[FreeFood] Rocky common room pretzels
2014-05-06,19,22,[FreeFood] HOAGIE HAVEN in Butler Studio 34
2014-05-06,19,23,[FreeFood] Chez Alice Cakes
2014-05-06,20,43,[FreeFood] NAAN AND RICE STUFF CHICKPEA-LADEN INDIAN FOOD
2014-05-06,22,22,[FreeFood] FRIST BASEMENT MPR- Chips, pretzels, pita, olives, brownies, and more
2014-05-06,22,27,[FreeFood] Subway Sandwiches & Cookies!
2014-05-07,17,48,[FreeFood] Free Chinese food!!!
2014-05-07,19,22,[FreeFood] Free Snacks, Orange juice, Harribo, Sprite, Tostitos etc.
2014-05-08,10,22,[FreeFood] Cupcakes & Mocktails
2014-05-08,11,15,[FreeFood] Mimosas and bent spoon at TI
2014-05-08,11,41,[FreeFood] Ice cream, sandwiches, lemonade, pigs in a blanket
2014-05-08,16,36,[FreeFood] Greek Food Platter Outside Frist Welcome Desk
2014-05-08,16,53,[FreeFood] GOOD Chinese Food Holder Basement (entryway 6)!
2014-05-08,17,40,[FreeFood] At 9pm TONIGHT: Pizza, Wings, House of Cupcakes in Fields Center
2014-05-08,18,36,[FreeFood] Free snacks and drinks in Rocky Common Room!
2014-05-08,20,20,[FreeFood] Hot choc & Oregon chai mix
2014-05-08,20,28,[FreeFood] Indian food in fields center patio out front
2014-05-08,23,2,[FreeFood] Brownies, tortilla chips and diet coke in frist
2014-05-09,9,27,[FreeFood] McGraw Center Has Cake
2014-05-09,13,4,[FreeFood] Free Sandwiches in Frist 247
2014-05-09,13,13,[FreeFood] Ice cream at Wilson courtyard
2014-05-09,16,3,[FreeFood] Indian food in Murray dodge
2014-05-09,16,41,[FreeFood] Sandwiches in butler amphitheater
2014-05-10,7,58,[FreeFood] FREE SUSHI, CUPCAKES, AND FILMS STUDY BREAK ON THURSDAY!!!
2014-05-10,15,48,[FreeFood] Soda and snacks outside the Rocky-Mathey theater
2014-05-10,19,53,[FreeFood] I SCREAM
2014-05-10,21,24,[FreeFood] Free food in Wilcox Commons!
2014-05-12,21,26,[FreeFood] bagels& cream cheese and hot coffee in rocky dining hall
2014-05-13,18,41,[FreeFood] Olives! Rocky Common Room!
2014-05-13,19,11,[FreeFood] DELICIOUS SLICE BETWEEN PIZZA
2014-05-13,21,7,[FreeFood] QDOBA Campus Club
2014-05-13,22,13,[FreeFood] Hummus Blair Kitchen
2014-05-15,13,2,[FreeFood] SUSHI + CUPCAKES TONIGHT!!!!!!!!
2014-05-15,18,22,[FreeFood] Free House of Cupcakes!
2014-05-15,19,2,[FreeFood] [Free Foood] Fields Center
2014-05-15,19,59,[FreeFood] Cake in Frist
2014-05-16,11,50,[FreeFood] Spicy Stuff+Rice
2014-05-16,12,10,[FreeFood] Bubble tea, fro-yo, and Subway!
2014-05-16,12,57,[FreeFood] Free Subway Sandwiches in Frist 247!
2014-05-16,19,18,[FreeFood] Chocolote chip cookies in witherspoon 4th floor kitchen
2014-05-16,20,26,[FreeFood] Chips and popcorn
2014-05-16,20,29,[FreeFood] There's more
2014-05-17,15,12,[FreeFood] Hoagie Haven in Bowen
2014-05-18,8,43,[FreeFood] Panera bagels and danishes in Robertson!
2014-05-18,19,49,[FreeFood] Vanilla confetti cake + cookies and cream ice cream
2014-05-18,20,52,[FreeFood] ustore sushi
2014-05-19,10,4,[FreeFood] 10+ Panera bagels in the Architecture Building!
2014-05-19,20,23,[FreeFood] Chipotle Chips and Guac+Pico de Gallo
2014-05-20,16,2,[FreeFood] leftover cheese pizza & cookie pie from papa johns
2014-05-20,16,5,[FreeFood] Platter of pastries above Wu dining hall
2014-05-20,16,56,[FreeFood] Pasta salad, brownies, watermelon, and salad!
2014-05-20,16,59,[FreeFood] Actually, Rocky Common Room
2014-05-20,18,25,[FreeFood] ICE CREAM
2014-05-20,21,32,[FreeFood] random assortment of things... claim in the next 30 mins
2014-05-21,12,7,[FreeFood] 2 boxes of pizza in Murray dodge
2014-05-21,16,35,[FreeFood] Chinese Food at Studio 34
2014-05-21,17,57,[FreeFood] Potato salad, regular salad and assorted sandwiches
2014-05-22,19,29,[FreeFood] tazo tea
2014-05-22,20,22,[FreeFood] Coca Cola and Sprite!
2014-05-22,23,52,[FreeFood] Indian Appetizers
2014-05-23,9,12,[FreeFood] half a dozen bottles of snapple
2014-05-23,9,38,[FreeFood] TONS OF FREE FOOD
2014-05-23,20,16,[FreeFood] Free cheese (bleu and Brie) by pool tables in Frist
2014-05-24,10,13,[FreeFood] Drinks
2014-05-24,10,45,[FreeFood] Choc milk (a case) outside of holder 78
2014-05-26,10,31,[FreeFood] Free sandwiches
2014-05-28,17,46,[FreeFood] Cleaning out co-op, free ice cream, produce, and milk
2014-05-28,22,55,[FreeFood] Pasta!
2014-05-31,10,51,[FreeFood] [Free Food] Sandwiches by McCosh 10
2014-05-31,11,26,[FreeFood] Food behind Chancellor Green
2014-05-31,12,32,[FreeFood] Cookie Baking Ingredients at Murray Dodge Cafe
2014-06-01,10,34,[FreeFood] Tortilla chips, Goldfish, Pretzels!
2014-06-01,17,6,[FreeFood] Free couch
2014-06-01,18,53,[FreeFood] food in frist!!
2014-06-02,14,8,[FreeFood] Strawberries and veggie platter - Witherspoon kitchen
2014-06-02,14,25,[FreeFood] BaGz oF cHeWies @ sOuTh LaWn -- Na$$aU hAL
2014-06-02,14,41,[FreeFood] Brownies and cookies
2014-06-02,14,49,[FreeFood] Cookies and cheese cubes
2014-06-02,18,24,[FreeFood] Rice, pasta, soup, cans of other items, peanut butter
2014-06-03,4,21,[FreeFood] Little Basement
2014-06-03,18,10,[FreeFood] Free Trader Joes baking mix + more in Wendell B310
2014-06-03,18,54,[FreeFood] About 80 free Fla-Vor-Ice popsicles in Whitman!
2014-06-03,19,14,[FreeFood] Ice cream!
2014-06-03,22,28,[FreeFood] Free Alcohol
2014-06-03,22,29,[FreeFood] Free beer, cider, raspberitas
2014-06-04,1,18,[FreeFood] More free alc
2014-06-04,1,57,[FreeFood] Box of food spelman 32
2014-06-04,7,53,[FreeFood] Free household supplies
2014-06-04,10,29,[FreeFood] 6 stuffed animals need a home
2014-06-04,11,23,[FreeFood] Free food outside Spelman laundry room
2014-06-04,21,54,[FreeFood] Stolen flower bicycle, Spelman entryway 4
2014-06-05,18,52,[FreeFood] Blue and white bike stolen from jadwin gym fence
