date,hour,min,subj
2014-09-28,13,0,[FreeFood] Lettuce and Snack Pack Pudding
2014-09-29,16,29,[FreeFood] Pizza in Lewis 120
2014-09-30,16,14,[FreeFood] Veggie Pizza in Frist
2014-09-30,16,18,[FreeFood] Pizza outside Frist 309
2014-09-30,17,11,[FreeFood] Chips, Oreos, Wheat Thins, Pretzels, Cookies in Frist 204
2014-10-01,10,46,[FreeFood] Pasta and salad
2014-10-02,15,4,[FreeFood] Snacks at MPR B
2014-10-03,13,38,[FreeFood] Leftover sandwiches & mediterranean food that will be thrown away in 15 minutes
2014-10-03,18,12,[FreeFood] Pizza in Robertson!
2014-10-04,11,38,[FreeFood] Free apples and bananas in Wilcox commons! Get 'em while they last! *****
2014-10-04,16,46,[FreeFood] Chicken Fajitas and Rice
2014-10-04,19,1,[FreeFood] Sandwiches, cookies, pastries frist first floor
2014-10-05,12,34,[FreeFood] pizza and soda in whig senate chamber
2014-10-05,15,38,[FreeFood] Cannon Green Feed event
2014-10-06,14,28,[FreeFood] Pizza + Soda at Equad B205
2014-10-06,16,18,[FreeFood] Pizza and Soda outside of CS 105
2014-10-06,18,31,[FreeFood] Friend basement outside 004 fresh fruit, pretzels, dip,
2014-10-06,18,52,[FreeFood] Delicious Fresh Crunchy Vegetables- Frist first floor, opposite the pool tables
2014-10-06,20,19,[FreeFood] free indian food at frist
2014-10-07,17,8,[FreeFood] Free food in the USG Office (Frist 204)
2014-10-07,18,9,[FreeFood] Pizza in Rocky Common Room!
2014-10-08,16,31,[FreeFood] free food in women;s center
2014-10-08,18,25,[FreeFood] SUSHI IN WHIG BASEMENT
2014-10-08,19,42,[FreeFood] Chipotle from DREAM Team & PLA
2014-10-08,20,3,[FreeFood] Sushi in Yoseloff A211 (from RCA Study Break)
2014-10-08,20,14,[FreeFood] Vegan Indian food (rice, channa masala [chickpeas], pakoras) at Murray Dodge lobby
2014-10-09,15,4,[FreeFood] Assorted Frist Cookies and Tiger cake in Wilson Commons
2014-10-09,15,33,[FreeFood] Panera Sandwiches and Chips outside Lewis 120
2014-10-09,15,33,[FreeFood] Tons of Panera Sandwiches and Chips outside Lewis 120!
2014-10-09,16,42,[FreeFood] Tons of Pizza, CS 104
2014-10-09,18,42,[FreeFood] Fries from 30 burgers
2014-10-09,19,10,[FreeFood] Nutella at Wilcox
2014-10-09,19,23,[FreeFood] Taco Truck
2014-10-10,11,27,[FreeFood] Daniel Glass Talk at Prospect House 4:30pm, Today
2014-10-10,12,52,[FreeFood] Desserts & Italian food/pasta galore!
2014-10-10,14,1,[FreeFood]
2014-10-10,16,50,[FreeFood] Indian food from tandoori bite
2014-10-10,21,2,[FreeFood] Lots of Sandwiches, Cookies (CC of course), chips, sushi, friends
2014-10-11,9,12,[FreeFood] Coffee in Holder 4b
2014-10-11,14,35,[FreeFood] Leftover Mehek in Frist 307.
2014-10-11,20,37,[FreeFood] Sandwiches and sweets in Little basement!
2014-10-12,18,47,[FreeFood] Dumplings of the World in Mathey
2014-10-12,19,18,[FreeFood] Indian Food. 1937 Cluster
2014-10-14,9,44,[FreeFood] Artisanal fresh roasted coffee from Rojo's Roastery, 30 Burger, Free makeup and eyebrow session, and More!
2014-10-14,17,3,[FreeFood] SNACKS IN FRIST 204!
2014-10-14,19,17,[FreeFood] Mehek Yummies
2014-10-15,19,25,[FreeFood] Leftover food platter from Mamouns. Holder Kitchen
2014-10-17,11,10,[FreeFood] WHITMAN COURTYARD.
2014-10-17,11,49,[FreeFood] Bean-to-bar Chocolate!
2014-10-17,13,7,[FreeFood] Sandwiches + Salad in LGBT Center
2014-10-17,17,49,[FreeFood] Thomas Sweet ice cream
2014-10-17,19,48,[FreeFood] Cookies, hummus Platter, Cheese, & Fruit
2014-10-17,21,11,[FreeFood] Cookies in Dod basement
2014-10-17,21,41,[FreeFood] CUPCAKES, FRUIT, FRIENDSHIP- 1937 Cluster
2014-10-18,11,13,[FreeFood] Sandwiches and salad from Olives
2014-10-18,16,9,[FreeFood] Sushi, Bubble Tea, Pizza, Salad
2014-10-18,18,1,[FreeFood] Caesar salad
2014-10-19,18,30,[FreeFood] mamoun's
2014-10-20,16,6,[FreeFood] A lot of pizza (Princeton Pi) in Murray Dodge, 1st floor
2014-10-20,19,57,[FreeFood] pizza in Rocky Common Room!
2014-10-21,17,9,[FreeFood] Come to USG office hours for falafel!
2014-10-21,20,2,[FreeFood] chocolate wafers~
2014-10-23,18,35,[FreeFood] Spring Rolls and Egg Rolls at Frist
2014-10-24,13,33,[FreeFood] Carrot cake in LGBT Center
2014-10-25,19,10,[FreeFood] Murray Dodge - Open Normal Hours Over Break!
2014-10-27,18,7,[FreeFood] Freshly baked browned-butter chocolate chip cookies
2014-10-28,9,20,[FreeFood] Einstein Bros Bagels, Coffee, & Pastries in the Rocky-Mathey Classroom
2014-10-28,17,31,[FreeFood] Free Copy Card (Approx. $90)
2014-10-28,18,32,[FreeFood] Box of Assorted Papa John's Pizza
2014-10-29,11,8,[FreeFood] USG FREE PIZZA AND SWEATPANTS TONIGHT!
2014-10-31,11,40,[FreeFood] Some samosas in MD
2014-11-03,11,11,[FreeFood] Salad, chicken, wraps (some vegetarian)
2014-11-03,16,31,[FreeFood] Masala Grill in MD
2014-11-04,17,6,[FreeFood] Tons of snacks in Frist 204!
2014-11-05,15,21,[FreeFood] Chinese Food
2014-11-05,18,18,[FreeFood] Ziti and salad
2014-11-06,16,17,[FreeFood] Friend 006 - snack platters
2014-11-06,18,44,[FreeFood] [Free Food] Cuban food in Murray dodge
2014-11-07,12,34,[FreeFood] wraps, chicken, salad in Rainbow Lounge
2014-11-07,17,56,[FreeFood] pizza in frist
2014-11-07,19,46,[FreeFood] Pizza, pretzels and brownies Rocky Common Room
2014-11-08,13,18,[FreeFood] korean food. at frist, by the pool tables
2014-11-08,22,8,[FreeFood] snacks, chips and veggies, frist by the pool tables
2014-11-09,18,58,[FreeFood] Smores in Forbes backyard
2014-11-10,16,37,[FreeFood] Hummus, pita and salad in murray dodge
2014-11-11,17,4,[FreeFood] Chips, pretzels & starbursts in Frist 204
2014-11-11,19,29,[FreeFood] free pj pancakes (4trays)
2014-11-12,11,43,[FreeFood] Indian Food in Murray Dodge
2014-11-12,15,29,[FreeFood] bagged sandwiches in pace center
2014-11-12,17,13,[FreeFood] Buffalo Mac-and-Cheese, Cereal, Candy
2014-11-12,17,38,[FreeFood] Mac & Cheese & Rice Pilaf
2014-11-12,17,39,[FreeFood] Chips salsa, cheesy dip, cookies, sour cream
2014-11-13,17,21,[FreeFood] Sandwiches from Olives on 1st floor Frist
2014-11-14,12,7,[FreeFood] Indian Food in Rainbow Lounge in Frist
2014-11-14,14,22,[FreeFood] Cake, Mini-Desserts and Fruit above Wu
2014-11-14,20,28,[FreeFood] Food in equad cafe
2014-11-14,22,20,[FreeFood] Brownies and Pizza
2014-11-15,11,49,[FreeFood] Sandwiches, salad, chips, and cookies at the campus club prospect room!
2014-11-16,19,57,[FreeFood]
2014-11-16,20,1,[FreeFood] Pies in Bloomberg TV Lounge
2014-11-17,16,29,[FreeFood] Efes food in murray dodge - meat, salad, and rice
2014-11-19,11,43,[FreeFood] Sandwiches, Soup, and Chips in McGraw
2014-11-19,13,27,[FreeFood] McGraw Center Food is Gone
2014-11-19,16,49,[FreeFood] Cheese and Eggplant Sandwiches in Frist
2014-11-20,18,7,[FreeFood] (cold) mushroom pizza
2014-11-20,19,20,[FreeFood] Pita Bread from Mamoun's in USG office
2014-11-21,17,28,[FreeFood] Pizza, Frist, courtesy of Princeton American Sign Language Club
2014-11-21,18,56,[FreeFood] Food from olives in friend!
2014-11-21,18,57,[FreeFood] Food from olives in friend!
2014-11-21,19,23,[FreeFood] Hummus and falafel in Cafe Antionette (next to Mathey common room)!
2014-11-22,10,12,[FreeFood] @ Clark Baseball Field by the stadium
2014-11-22,12,15,[FreeFood] Tons of hoagies and bagels
2014-11-22,14,58,[FreeFood] Sandwiches in Friend Center
2014-11-22,16,0,[FreeFood] FREE PANCAKES AT FILM FESTIVAL - 2 HOURS - 9pm MCCOSH 10!
2014-11-22,16,16,[FreeFood] Chinese Food in Frist!
2014-11-22,16,59,[FreeFood] Pizza!
2014-11-22,22,7,[FreeFood] PIZZA salsa and chips
2014-11-23,19,51,[FreeFood] Pizzina Papa Yonathan's in Bloomberg TV Lounge con Pepsi et MTDEW
2014-11-26,11,8,[FreeFood] Murray Dodge Cookies
2014-12-01,7,17,[FreeFood] [McCormick 101, 7pm] World AIDS Day/Day Without Art Film and Lecture
2014-12-01,16,29,[FreeFood] Free Indian food in murray dodge
2014-12-01,17,56,[FreeFood] Pizza next to 1st floor frist printer!
2014-12-01,20,42,[FreeFood] 3 pizzas on the first floor of Frist
2014-12-02,18,41,[FreeFood] Pizzas in Dillon Gym Lobby
2014-12-03,9,22,[FreeFood] Safer Sexpo for Upperclassmen! [Free Fruity Yogurt!]
2014-12-03,16,35,[FreeFood] 9PM TONIGHT: Safer Sexpo for Upperclassmen! [Free Fruity Yogurt!]
2014-12-03,19,47,[FreeFood] Fwd: Food and advice for premeds! :D
2014-12-04,15,32,[FreeFood] olives sandwiches, mccosh 60
2014-12-04,17,33,[FreeFood] Fwd: Food, Games, and PRIZES?!?! TONIGHT @ 8PM
2014-12-04,20,1,[FreeFood] Caribbean food in patton basement
2014-12-04,20,8,[FreeFood] STUDIO 34
2014-12-05,12,9,[FreeFood] Fwd: Sandwiches, desserts at Studio 34
2014-12-05,12,40,[FreeFood] TONS of food in the LGBT Center rn
2014-12-05,13,52,[FreeFood] Hot Chocolate + Candy + Cookies in Campus Club
2014-12-05,17,22,[FreeFood] free food in friend center convocational room, come now
2014-12-05,17,57,[FreeFood] FREE OLIVES SANDWICHES IN JOLINE FRIDGE AND IN JOLINE GAME ROOM
2014-12-05,17,57,[FreeFood] FREE OLIVES SANDWICHES IN THE MATHEY JOLINE FRIDGE AND IN THE GAME ROOM
2014-12-05,19,55,[FreeFood] Baked zeetie and papa johns
2014-12-05,19,56,[FreeFood] Papa johns pizzas in frist
2014-12-06,13,27,[FreeFood] Mamouns and cookies
2014-12-06,18,6,[FreeFood] Potato Salad and Some Chicken Wings
2014-12-07,12,36,[FreeFood] Corn Bread, Salmon, Broccoli, Turkey, and Sweet Potato Casserole!
2014-12-07,17,30,[FreeFood] Thai Village, 4th floor Bloomberg Lounge
2014-12-07,19,38,[FreeFood] Malaysian Food, ground floor Bloomberg Hall Function Room
2014-12-07,19,47,[FreeFood] Medium cheese pizza + 2L Fanta
2014-12-08,17,12,[FreeFood] Vanilla wafers and egg nog dip, chips and bacon ranch and cheese dip, cookies, buffalo pizza bites, etc
2014-12-09,11,12,[FreeFood] SAY CHEEZ! Free drink with your Winter Solstice sandwich when you show your PUB show ticket!
2014-12-09,13,9,[FreeFood] Free sandwiches in the Rainbow Lounge (Frist 247)
2014-12-09,16,32,[FreeFood] Sandwiches and cookies in the Rainbow Lounge
2014-12-09,17,57,[FreeFood] Cookies and veggies outside of McAlpin in Woolworth
2014-12-09,18,45,[FreeFood] HOLIDAY FOODS AT MATHEY
2014-12-09,20,48,[FreeFood] Eggnog, pies, cookies in Studio 34
2014-12-10,14,4,[FreeFood] Food Panel and Senegalese Food
2014-12-10,15,11,[FreeFood] 2 boxes of pizza + 1 bottle of pepsi
2014-12-10,15,13,[FreeFood]
2014-12-10,15,38,[FreeFood] Boom chicka pop, Chips & salsa in pace center
2014-12-10,16,45,[FreeFood] Free Mehek!! Robertson basement
2014-12-10,17,19,[FreeFood] Senegalese food at Carl a fields center
2014-12-10,17,20,[FreeFood] Senegalese food
2014-12-10,17,42,[FreeFood] Reception leftovers in art museum lobby
2014-12-10,18,54,[FreeFood] COFFEE, CANDY, COOKIES, CHIPS
2014-12-10,19,41,[FreeFood] Chinese in Whitman Common Room
2014-12-10,19,51,[FreeFood] Cake on top of recycle bin on third floor of clapp
2014-12-10,20,35,[FreeFood] Egg Nog, Cookies, Chips, Apple Cider, Pumpkin Pie, Candy Canes!
2014-12-11,16,51,[FreeFood] Two tray of Mamoun's falafel in Woolworth 101!
2014-12-11,17,53,[FreeFood] Coke + Popeye's Chicken in CAF
2014-12-11,19,8,[FreeFood] Say Cheez Wilson commons
2014-12-12,10,54,[FreeFood] Birthday cake, Oreos
2014-12-12,11,18,[FreeFood] Soup & Sandwiches in the Rainbow Lounge
2014-12-17,13,9,[FreeFood] Fresh tomatoes, clementines, other groceries, Spelman 41
2015-01-03,15,17,[FreeFood] Random instant Turkish, other Asian food Dod Kitchen
2015-01-06,15,45,[FreeFood] Mehek Food in MD-22!!
2015-01-06,20,25,[FreeFood] Ritz crackers, Candy corn outside scully 307
2015-01-07,8,40,[FreeFood] 7 Mint Chocolate Chip Luna Protein Bars, 4 boxes of Betty Crocker super moist vanilla cake mix, and 2 packs of wet wipes (48 sheets each)
2015-01-07,12,0,[FreeFood] Chicken wraps, salad
2015-01-07,17,16,[FreeFood] Free food and conversation in campus club
2015-01-07,18,35,[FreeFood] Cupcakes in USG office!
2015-01-07,22,12,[FreeFood] 2 slices of cold cheese pizza
2015-01-08,20,11,[FreeFood] Free Cookies and Cider
2015-01-09,19,49,[FreeFood] Couple of Hoagies (Shrimp Po Boy, Bloch, Good Morning)
2015-01-09,21,21,[FreeFood] FREE BAGELS IN 5 MINUTES
2015-01-10,13,55,[FreeFood] Bagels and pastries outside Women's Center (Frist 243)
2015-01-11,15,58,[FreeFood] Hoagies, cookies, bagels in Frist
2015-01-11,16,28,[FreeFood] Five pies of pizza at Dillon
2015-01-12,17,44,[FreeFood] Free 5 Hr Energy samples in Frist!!!!!!!!
2015-01-12,18,59,[FreeFood] Papa Juan's in Studio 34
2015-01-13,18,1,[FreeFood] HOUSE OF CUPCAKES - Rocky Common Room
2015-01-14,16,35,[FreeFood] Pizza in Murray-Dodge
2015-01-15,11,30,[FreeFood] free happiness !
2015-01-17,15,41,[FreeFood] sandwiches outside LGBT center
2015-01-18,15,36,[FreeFood] Pizza, bagels, and cream cheese...
2015-01-18,19,58,[FreeFood] Free 16 Pack Ramen
2015-01-18,21,17,[FreeFood] all gone: Free 16 Pack Ramen
2015-01-19,7,40,[FreeFood] Breakfast food in Chancellor Green!
2015-01-19,19,23,[FreeFood] Hoagie Haven in Campus Club!
2015-01-21,21,2,[FreeFood] Small World Coffee, Cookies, Hot Chocolate, Cake
2015-01-22,15,33,[FreeFood] 9 boxes of cheese and pepperoni pizza
2015-01-22,16,14,[FreeFood] Get free food by working for the Rocky/Mathey dining hall!
2015-01-25,10,51,[FreeFood] bent spoon cupcakes
2015-01-26,18,7,[FreeFood] A little bit of chickpeas and rice
2015-01-28,15,19,[FreeFood] Qdoba in Rocky Common Room
2015-01-28,15,28,[FreeFood] qdoba
2015-01-29,12,43,[FreeFood] Lots of Pizza at Lewis Library
2015-01-29,13,29,[FreeFood] New Media Center - Pizza is gone!
2015-01-29,15,17,[FreeFood] Mamouns in Rocky common room
2015-01-30,18,30,[FreeFood] Cheese plate from olives
2015-02-01,10,16,[FreeFood] free pizza in Whig!!
2015-02-02,9,26,[FreeFood] free bagels, cream cheese, and vegetable medley!
2015-02-02,16,24,[FreeFood] korma/Indian food murray dodge
2015-02-03,17,12,[FreeFood] Bubble tea rocky common room
2015-02-03,18,25,[FreeFood] Pizza, hummus, and brownies--Woolworth 101
2015-02-04,16,49,[FreeFood] Chicken, Mac and Cheese, steamed broccoli, and veggie lasagna
2015-02-04,21,8,[FreeFood] Small World Coffee, Milk, and Cookies (and cups)
2015-02-06,19,14,[FreeFood] Home-Baked Desserts
2015-02-08,6,25,[FreeFood] Food delivered to your dorm
2015-02-08,13,48,[FreeFood] Pizza Frist 210
2015-02-09,17,14,[FreeFood] Cashew clusters outside scully 307
2015-02-10,16,51,[FreeFood] chinese food in frist
2015-02-10,17,10,[FreeFood] Rocky common room
2015-02-10,19,44,[FreeFood] Cheese Pizza and salad
2015-02-10,21,25,[FreeFood] Sushi in Mathey common room
2015-02-11,13,26,[FreeFood] TONIGHT: BRIDGING CULTURES DINNER SERIES -- SPRING KICK-OFF
2015-02-11,16,3,[FreeFood] Pizza outside Frist 302
2015-02-11,19,16,[FreeFood] Desserts from Olives
2015-02-11,19,57,[FreeFood] Buffalo Chicken Wings Outside Joline 223
2015-02-12,12,6,[FreeFood] Random Cupcakes - in Front of Friend
2015-02-12,14,58,[FreeFood] Random food in lobby of cs building
2015-02-13,16,4,[FreeFood] Sushi and House of Cupcakes at Unite to Fight Sex Trafficking in Blackbox
2015-02-14,13,16,[FreeFood] Free Homemade Pizza Delivered Straight To You!
2015-02-15,3,17,[FreeFood] wallet at terrace
2015-02-15,10,59,[FreeFood] Salad in Frist
2015-02-15,18,41,[FreeFood] fried calamari - ngc common room
2015-02-16,14,5,[FreeFood] Baked Ziti, Brown Rice w/ Vegetables, and Green Salad...
2015-02-16,17,30,[FreeFood] Subway sandwiches!
2015-02-17,17,7,[FreeFood] Chicken, lasagna+more in compsci building
2015-02-17,19,31,[FreeFood] Olives Cookies in Mathey Common Room
2015-02-17,20,40,[FreeFood] Qdoba chips & queso, drinks -- spoon basement
2015-02-17,21,39,[FreeFood] Free baby carrot!
2015-02-17,22,22,[FreeFood] Tons of Food
2015-02-18,19,21,[FreeFood] PJs pancakes + other breakfast food
2015-02-19,9,32,[FreeFood] Bicycle stolen from 1903 Hall: red and black with duct-taped seat
2015-02-19,15,28,[FreeFood] Free pizza
2015-02-20,11,22,[FreeFood] Movie screening tonight!
2015-02-20,15,16,[FreeFood] LEFTOVER PIZZA (FRIST)
2015-02-20,15,44,[FreeFood] buffet in lewis center lobby!
2015-02-20,16,37,[FreeFood] Snacks and a movie: My Country, My Country!
2015-02-20,20,6,[FreeFood] Chinese New Year festive candies!
2015-02-20,21,19,[FreeFood] Cakes and pizza, Rocky Common Room
2015-02-21,10,15,[FreeFood] Calling all Prospective (and Current) Chemistry Majors!
2015-02-21,11,54,[FreeFood] Brownies and cookies
2015-02-21,14,12,[FreeFood] QDOBA in Frist 307!
2015-02-21,17,47,[FreeFood] Free Pasta, Chicken, Salad at Frist
2015-02-22,8,27,[FreeFood] Stolen keys/jacket from Terrace
2015-02-22,13,17,[FreeFood] Lost backpack
2015-02-22,16,56,[FreeFood] Mehek - Indian food in Murray Dodge
2015-02-23,7,21,[FreeFood] Fwd:
2015-02-23,14,15,[FreeFood] Free Mehek in McCormick 101
2015-02-23,16,52,[FreeFood] Food in J Street
2015-02-24,10,54,[FreeFood] Taste of Thailand
2015-02-24,19,28,[FreeFood] Indian Food
2015-02-25,19,9,[FreeFood] Tiger Noodles in Yoseloff 1st Floor Kitchen
2015-02-25,20,6,[FreeFood] bent spoon cupcakes & cookies
2015-02-25,20,59,[FreeFood] Indian food @ Frist
2015-02-26,15,44,[FreeFood] Free sweet potato chili, guacamole, cookies, cupcakes, coffee/tea
2015-02-27,10,30,[FreeFood] Sandwiches and Salads at McGraw
2015-02-27,11,32,[FreeFood] Sandwiches, cookies, salads, fruit at 306 Sherrerd Hall
2015-02-27,11,45,[FreeFood] McGraw Sandwiches and Salads are Gone
2015-02-27,11,48,[FreeFood] Tast of Thailand Tonight! 8-10pm
2015-02-27,15,42,[FreeFood] Assorted Vegetables
2015-02-27,17,1,[FreeFood] Qdoba @ Field's Center
2015-02-27,18,3,[FreeFood] Olives in Friend Atrium!
2015-02-27,18,56,[FreeFood] Olive's Pasta in Scully 1st Floor
2015-02-28,0,26,[FreeFood] Thesis Notebook
2015-03-01,10,59,[FreeFood] mad mimosa
2015-03-01,20,48,[FreeFood] Bridging Cultures Dinner Series - Art, Apartheid and South Africa, Art, Race and America
2015-03-03,10,27,[FreeFood] Sandwiches, Salads & Cookies
2015-03-03,17,32,[FreeFood] Free pizza frist
2015-03-04,19,13,[FreeFood] 3 burgers and all the ketchup you could ever want @ frist
2015-03-06,10,25,[FreeFood] Sandwiches and pasta salad
2015-03-06,11,0,[FreeFood] Sandwiches in Frist, LGBT Center
2015-03-06,14,35,[FreeFood] Chipotle Chips and Dip in Frist 307
2015-03-06,18,55,[FreeFood] wings, celery, and dip - by Frist welcome desk
2015-03-07,11,2,[FreeFood] Veggie burgers, Snapples, cookies and cakes - in Frist 330 infront of McGraw Center
2015-03-07,12,24,[FreeFood] Olives sandwiches, snapple, water
2015-03-07,13,8,[FreeFood] Fresh Homemade Chocolate Chip Cookies and Milk in Frist!
2015-03-07,17,6,[FreeFood] Fwd: MAPS PIZZA STUDY BREAK TOMORROW 8 PM FRIST 114
2015-03-07,17,12,[FreeFood] mac n cheese in Murray Dodge
2015-03-08,13,24,[FreeFood] Beef & Broccoli, Shrimp Fried Rice, and General Tso's Chicken in Murray Dodge Hall
2015-03-08,13,32,[FreeFood] Business Bistro Sandwiches in Carl A Fields
2015-03-08,20,23,[FreeFood] Indian/mehek food in murray dodge
2015-03-09,16,27,[FreeFood] Princeton Pi Pizza in Murray Dodge
2015-03-09,17,39,[FreeFood] CandyLand Study Break in Campus Club NOW!!!!
2015-03-09,19,32,[FreeFood] PJs Pancakes in the Pace Center Lounge
2015-03-09,19,59,[FreeFood] Half of a WaWa cookie
2015-03-09,20,8,[FreeFood] Free cookies and water in Murray-Dodge basement
2015-03-10,18,47,[FreeFood] PANERA
2015-03-11,15,11,[FreeFood] Chicken & Broccoli and Rice in Murray Dodge Hall
2015-03-11,18,39,[FreeFood] Chips and Cookies - Scully 3rd Floor Conference Room
2015-03-11,20,18,[FreeFood] bent spoon
2015-03-12,18,33,[FreeFood] Papa Johns Campus CLub Den
2015-03-12,20,0,[FreeFood] Hunans Chinese food and pizza and drinks
2015-03-17,17,21,[FreeFood] Dessert in Rocky Common Room
2015-03-17,20,19,[FreeFood] Cookies! Murray Dodge is OPEN over Spring Break!
2015-03-20,13,30,[FreeFood] Mad Cookies in East Pyne
2015-03-20,13,34,[FreeFood] Cookies in 127 East Pyne
2015-03-20,15,50,[FreeFood] Masala grill
2015-03-24,15,21,[FreeFood] Baklava in Campus Club
2015-03-26,14,56,[FreeFood] Cookies and orange juice in Wu
2015-03-26,15,21,[FreeFood] (Free food) pizza in frist mpr c
2015-03-26,15,23,[FreeFood] Chips, salsa, hummus, apples & oranges at Fields Center MPR
2015-03-26,16,18,[FreeFood] Qdoba on Frist 100 level table
2015-03-26,20,23,[FreeFood] Chinese food in Butler 1915
2015-03-27,14,4,[FreeFood] Chinese Food, Pizza, Brownies, Ice Cream in McCosh 28
2015-03-27,15,28,[FreeFood] FREE CHINESE FROM HUNAN @ FRIEND CENTER CONVOCATION ROOM NOW!
2015-03-27,16,50,[FreeFood] Chinese Food
2015-03-27,17,46,[FreeFood] Sheet cake spoon basement
2015-03-28,8,19,[FreeFood] FREE Panera Bread + Subway @ FRIEND
2015-03-28,8,45,[FreeFood] Subway and Panera Bread @ Friend Right Now
2015-03-28,12,33,[FreeFood] Small world coffee
2015-03-28,14,44,[FreeFood] Chipotle burritos outside the art museum
2015-03-28,22,2,[FreeFood] Brownies near Frist Welcome Desk
2015-03-29,20,39,[FreeFood] assorted cookies from the bent spoon
2015-03-30,16,37,[FreeFood] Bread, salad and lasagna in Murray dodge
2015-03-30,17,23,[FreeFood] 34 Free Mini Chocolate Chips-
2015-03-31,7,38,[FreeFood] FREE CHOCOLATE DELIVERED TO YOU
2015-04-02,15,8,[FreeFood] Coffee & Pastries
2015-04-02,17,3,[FreeFood] Free Olives sandwiches
2015-04-02,17,5,[FreeFood] Oranges and Salad w/ Vinaigrette in Campus Club Living Room
2015-04-02,17,33,[FreeFood] Tons of Chinese Food
2015-04-03,9,49,[FreeFood] 2 pizzas at dillon front desk
2015-04-03,13,53,[FreeFood] Sandwiches in LGBT Center
2015-04-03,19,7,[FreeFood] Polish food McCormick lobby
2015-04-03,20,18,[FreeFood] Tons of pizza in Frist
2015-04-04,10,45,[FreeFood] Coffee, limited donut holes and bagel stuff
2015-04-05,19,8,[FreeFood] Infini-T and Panera Pastries!
2015-04-05,20,3,[FreeFood] Chocolate Easter Bunny OM NOM NOMM
2015-04-05,20,21,[FreeFood] Bunny is all gone'
2015-04-06,21,42,[FreeFood] Bag of Qdoba Chips and Hot Salsa
2015-04-07,14,2,[FreeFood] FREE CHOCOLATE DELIVERED TO YOU
2015-04-07,15,30,[FreeFood] Frist MPR cookies, pastries, chips + guac
2015-04-09,15,24,[FreeFood] Fwd: BAC: ONCE UPON A TIME
2015-04-09,15,28,[FreeFood] Lots of pizza and soda in Frist MPR in the Basement
2015-04-09,15,33,[FreeFood] Free Redbull Tomorrow Night!
2015-04-09,16,55,[FreeFood] Chocolate in Bloomberg Kitchen
2015-04-09,17,22,[FreeFood] Cookies, fruit & sandwiches from Olives
2015-04-09,18,55,[FreeFood] Sambar in Frist Gallery
2015-04-10,13,28,[FreeFood] [meal TONIGHT] Freedom Seder 2015: Black Lives Matter @ 7:30pm, CJL
2015-04-10,13,29,[FreeFood] Free Gluten Free/Kosher for Passover Cake & Salad in Rainbow Lounge
2015-04-10,20,47,[FreeFood] Free Redbull Tonight and DJ Rico!
2015-04-11,19,59,[FreeFood] French fries in Frist 309
2015-04-12,1,37,[FreeFood] Pizza in Friend Center hallway
2015-04-12,12,24,[FreeFood] A Veritable Feast! - McGraw 330
2015-04-12,12,46,[FreeFood] Chinese Food In Murray Dodge (Shrimp Fried Rice and General Tso's Chicken)
2015-04-12,13,12,[FreeFood] Subway, bagels, soda, carrots in Friend
2015-04-12,18,55,[FreeFood] Pizza in Bloomberg tV Lounge
2015-04-12,19,0,[FreeFood] bloomberg pizza gone!
2015-04-13,15,54,[FreeFood] Chocolate Chip cookies and Olive's tray in LGBT Center
2015-04-13,16,29,[FreeFood] Mahmouns and Sushi, Frist MPR C
2015-04-14,18,4,[FreeFood] lots of Efes in the Pace Lounge (Frist)
2015-04-14,19,48,[FreeFood] NOMAD PIZZA TRUCK next to Blair till 11
2015-04-14,19,54,[FreeFood] Hummus Wraps, pickles, and chips outside in McGraw
2015-04-15,15,21,[FreeFood] Chocolate chip cookies, brownies, and almond sticks
2015-04-15,19,14,[FreeFood] FILAFEL in Yoseloff 2nd Floor Kitchen
2015-04-16,7,51,[FreeFood] Free food at the blood drive!
2015-04-16,14,12,[FreeFood] Food in the Rainbow Lounge
2015-04-16,15,46,[FreeFood] Olive's Sandwiches
2015-04-16,17,27,[FreeFood] [FREE COOKIES] INNOVATION TALL TOWER BUILDING EVENT!
2015-04-16,19,54,[FreeFood] Leftover Chipotle in Wilcox commons
2015-04-17,12,54,[FreeFood] FREE GOURMET CHEESE TONIGHT
2015-04-17,17,48,[FreeFood] Free chocolate!
2015-04-17,17,49,[FreeFood] Pizza soda doritos and gummies in Forbes Black Box theatre
2015-04-17,18,11,[FreeFood] Free Taco Bell behind Dillion
2015-04-17,18,14,[FreeFood] Free Taco Bell
2015-04-18,12,10,[FreeFood] Free Chipotle
2015-04-18,13,20,[FreeFood] Pasta in friend convocation
2015-04-18,17,56,[FreeFood] Senegalese Food, Panera Bagels, Drank
2015-04-18,20,17,[FreeFood] Samosas
2015-04-19,10,7,[FreeFood] Panera bagels, coffee, lemonade & orange juice
2015-04-19,10,55,[FreeFood] Pizza and salad
2015-04-19,15,15,[FreeFood] Cheese/fruit platter, crackers, soda in Murray Dodge hall
2015-04-20,19,21,[FreeFood] Free Gospel Concert This Sunday (and free post-concert dinner)
2015-04-21,12,1,[FreeFood] Tons of wraps
2015-04-23,16,42,[FreeFood] Food in Sun Room - Campus Club
2015-04-23,17,8,[FreeFood] Free brownies, cookies, cupcakes, etc.
2015-04-23,17,16,[FreeFood] FREE PIZZA
2015-04-23,22,42,[FreeFood] Lotsa stuff in frist
2015-04-24,15,13,[FreeFood] Ice cream campus club taproom
